Rk,G,2017 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
78,5,2022-04-26,EC1,MIA,,ATL,5,W (+3),1,31:53,2,6,.333,0,2,.000,0,0,,1,4,5,2,1,0,0,5,4,2.9,+14
79,6,2022-05-02,ECS,MIA,,PHI,1,W (+14),1,27:53,4,9,.444,2,4,.500,0,0,,5,2,7,1,0,0,1,2,10,8.3,+9
80,7,2022-05-04,ECS,MIA,,PHI,2,W (+16),1,25:46,2,6,.333,2,3,.667,0,0,,0,1,1,0,1,0,1,3,6,1.7,-2
81,8,2022-05-06,ECS,MIA,@,PHI,3,L (-20),1,34:32,2,3,.667,0,1,.000,0,0,,3,5,8,1,2,0,1,3,4,6.8,-14
82,9,2022-05-08,ECS,MIA,@,PHI,4,L (-8),1,25:09,3,7,.429,1,4,.250,0,0,,1,1,2,0,0,0,1,5,7,1.3,-7
83,10,2022-05-10,ECS,MIA,,PHI,5,W (+35),1,30:37,4,6,.667,2,2,1.000,0,0,,1,3,4,7,1,1,0,0,10,15.6,+16
84,11,2022-05-12,ECS,MIA,@,PHI,6,W (+9),1,38:38,6,9,.667,0,2,.000,0,0,,4,5,9,1,0,2,0,2,12,13.7,+13
85,12,2022-05-17,ECF,MIA,,BOS,1,W (+11),1,31:16,2,5,.400,1,3,.333,0,2,.000,0,6,6,3,1,0,1,4,5,3.8,+12
86,13,2022-05-19,ECF,MIA,,BOS,2,L (-25),1,21:42,2,6,.333,1,1,1.000,0,2,.000,2,2,4,1,0,0,2,2,5,0.7,-10
87,14,2022-05-21,ECF,MIA,@,BOS,3,W (+6),1,37:47,5,10,.500,3,6,.500,4,4,1.000,2,5,7,1,3,1,1,3,17,17.1,+6
88,15,2022-05-23,ECF,MIA,@,BOS,4,L (-20),1,21:18,0,4,.000,0,1,.000,0,0,,2,1,3,2,1,0,0,2,0,0.5,-30
89,16,2022-05-25,ECF,MIA,,BOS,5,L (-13),1,31:46,3,7,.429,1,5,.200,0,0,,6,5,11,2,1,0,0,1,7,11.0,-5
90,17,2022-05-27,ECF,MIA,@,BOS,6,W (+8),1,24:39,3,4,.750,2,2,1.000,3,4,.750,2,3,5,1,2,0,1,5,11,11.0,+9
91,18,2022-05-29,ECF,MIA,,BOS,7,L (-4),1,17:02,0,3,.000,0,2,.000,0,0,,0,4,4,0,0,1,2,1,0,-2.6,-16
