Rk,G,2014 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
69,18,2020-10-04,FIN,MIA,,LAL,3,W (+11),1,33:55,5,12,.417,2,8,.250,0,0,,1,7,8,1,0,0,1,4,12,6.5,+21
70,19,2020-10-06,FIN,MIA,,LAL,4,L (-6),1,34:38,2,7,.286,2,7,.286,2,2,1.000,1,6,7,2,1,1,0,4,8,7.9,+2
71,20,2020-10-09,FIN,MIA,@,LAL,5,W (+3),1,39:47,4,13,.308,2,9,.222,1,1,1.000,1,2,3,1,0,0,3,5,11,0.5,+1
72,21,2020-10-11,FIN,MIA,,LAL,6,L (-13),1,27:40,3,9,.333,1,5,.200,5,7,.714,1,3,4,1,1,0,0,4,12,7.8,-13
73,1,2021-05-23,WC1,PHO,,LAL,1,W (+9),1,29:25,3,10,.300,0,7,.000,2,2,1.000,0,4,4,3,1,0,2,3,8,3.3,+14
74,2,2021-05-25,WC1,PHO,,LAL,2,L (-7),1,28:34,2,8,.250,1,6,.167,3,3,1.000,1,5,6,2,1,1,0,4,8,6.9,+6
75,3,2021-05-27,WC1,PHO,@,LAL,3,L (-14),1,31:04,2,9,.222,1,7,.143,4,5,.800,1,2,3,2,2,2,1,5,9,6.2,-6
76,4,2021-05-30,WC1,PHO,@,LAL,4,W (+8),1,34:37,6,12,.500,3,8,.375,2,3,.667,0,7,7,4,2,1,0,3,17,17.0,+21
77,5,2021-06-01,WC1,PHO,,LAL,5,W (+30),1,28:50,3,9,.333,3,9,.333,0,0,,0,0,0,2,0,0,0,2,9,4.5,+23
78,6,2021-06-03,WC1,PHO,@,LAL,6,W (+13),1,36:32,6,9,.667,6,9,.667,0,0,,1,7,8,0,1,2,1,3,18,17.1,0
79,7,2021-06-07,WCS,PHO,,DEN,1,W (+17),1,30:47,5,13,.385,3,9,.333,1,1,1.000,0,5,5,1,0,0,0,2,14,8.3,+12
80,8,2021-06-09,WCS,PHO,,DEN,2,W (+25),1,25:28,4,5,.800,3,4,.750,0,0,,0,5,5,0,1,1,0,1,11,11.9,+20
81,9,2021-06-11,WCS,PHO,@,DEN,3,W (+14),1,33:32,5,9,.556,4,6,.667,0,0,,0,3,3,4,0,0,1,3,14,11.2,+18
82,10,2021-06-13,WCS,PHO,@,DEN,4,W (+7),1,38:32,2,4,.500,2,3,.667,3,3,1.000,0,10,10,1,0,4,4,1,9,9.1,+16
83,11,2021-06-20,WCF,PHO,,LAC,1,W (+6),1,33:22,5,10,.500,3,7,.429,0,0,,0,6,6,2,0,0,1,0,13,10.2,-12
84,12,2021-06-22,WCF,PHO,,LAC,2,W (+1),1,32:30,0,3,.000,0,3,.000,2,2,1.000,0,4,4,3,1,0,0,3,2,3.0,-2
85,13,2021-06-24,WCF,PHO,@,LAC,3,L (-14),1,28:41,3,7,.429,3,6,.500,0,0,,0,6,6,0,0,0,1,6,9,3.7,-17
86,14,2021-06-26,WCF,PHO,@,LAC,4,W (+4),1,34:19,1,8,.125,1,6,.167,0,0,,3,4,7,0,0,1,0,4,3,0.2,+4
87,15,2021-06-28,WCF,PHO,,LAC,5,L (-14),1,27:15,2,6,.333,0,4,.000,0,0,,0,4,4,6,0,0,1,3,4,3.8,-11
88,16,2021-06-30,WCF,PHO,@,LAC,6,W (+27),1,32:44,6,11,.545,5,9,.556,2,2,1.000,0,5,5,1,0,0,0,4,19,14.3,+19
89,17,2021-07-06,FIN,PHO,,MIL,1,W (+13),1,32:55,0,8,.000,0,5,.000,1,2,.500,0,9,9,0,0,1,2,2,1,-4.4,+19
90,18,2021-07-08,FIN,PHO,,MIL,2,W (+10),1,37:08,4,8,.500,3,5,.600,0,0,,0,10,10,3,1,0,0,4,11,11.5,+10
91,19,2021-07-11,FIN,PHO,@,MIL,3,L (-20),1,32:57,6,7,.857,6,7,.857,0,0,,0,6,6,1,0,1,0,3,18,17.5,-11
92,20,2021-07-14,FIN,PHO,@,MIL,4,L (-6),1,39:29,3,10,.300,3,9,.333,6,7,.857,1,7,8,3,3,3,3,5,15,13.8,-5
93,21,2021-07-17,FIN,PHO,,MIL,5,L (-4),1,40:09,4,7,.571,2,4,.500,0,0,,1,4,5,3,2,0,0,3,10,11.5,-7
94,22,2021-07-20,FIN,PHO,@,MIL,6,L (-7),1,40:33,4,11,.364,2,9,.222,5,5,1.000,2,11,13,0,4,1,2,3,15,15.1,+4
95,1,2022-04-17,WC1,PHO,,NOP,1,W (+11),1,28:10,0,4,.000,0,4,.000,1,2,.500,0,1,1,1,0,1,0,3,1,-1.7,+11
96,2,2022-04-19,WC1,PHO,,NOP,2,L (-11),1,27:17,2,11,.182,0,5,.000,1,1,1.000,0,6,6,1,2,2,2,2,5,1.2,-7
97,3,2022-04-22,WC1,PHO,@,NOP,3,W (+3),1,34:07,4,10,.400,0,5,.000,2,2,1.000,2,2,4,3,1,0,0,5,10,7.7,+10
98,4,2022-04-24,WC1,PHO,@,NOP,4,L (-15),1,29:29,3,7,.429,1,3,.333,4,6,.667,1,4,5,5,2,0,2,5,11,9.9,-9
99,5,2022-04-26,WC1,PHO,,NOP,5,W (+15),1,22:30,4,8,.500,1,5,.200,0,1,.000,0,2,2,2,2,0,0,5,9,6.6,+14
100,6,2022-04-28,WC1,PHO,@,NOP,6,W (+6),1,30:22,3,8,.375,1,4,.250,2,3,.667,0,4,4,3,1,1,2,5,9,5.2,+7
101,7,2022-05-02,WCS,PHO,,DAL,1,W (+7),1,28:18,4,6,.667,3,5,.600,0,0,,2,6,8,3,0,1,3,5,11,9.4,-2
102,8,2022-05-04,WCS,PHO,,DAL,2,W (+20),1,29:24,4,7,.571,3,5,.600,4,5,.800,1,6,7,3,1,1,1,1,15,16.2,+15
103,9,2022-05-06,WCS,PHO,@,DAL,3,L (-9),1,35:33,7,12,.583,5,8,.625,0,0,,0,7,7,5,2,0,2,1,19,18.6,-5
104,10,2022-05-08,WCS,PHO,@,DAL,4,L (-10),1,35:45,6,13,.462,2,7,.286,1,2,.500,1,5,6,1,1,1,4,4,15,6.9,-16
105,11,2022-05-10,WCS,PHO,,DAL,5,W (+30),1,26:31,1,6,.167,1,5,.200,0,0,,1,4,5,2,0,0,0,6,3,0.1,+1
106,12,2022-05-12,WCS,PHO,@,DAL,6,L (-27),1,28:36,2,4,.500,1,1,1.000,4,4,1.000,0,2,2,2,0,0,1,5,9,6.0,-7
107,13,2022-05-15,WCS,PHO,,DAL,7,L (-33),1,27:10,2,9,.222,1,6,.167,0,0,,0,4,4,0,1,0,2,0,5,-0.3,-37
